Left Front Pressure,Right Front Pressure,Left Front Condition,Right Front Condition,Left Rear Pressure,Right Rear Pressure,Left Rear Condition,Right Rear Condition,Battery Water Level,Battery Condition,Battery Leak,Battery Replacement Date,Rust/Dent/ Damage Exterior,Oil Leak in Suspension,Brake Fluid Level,Brake Condition Front,Brake Condition Rear,Emergency Brake,Rust/Dent/Damage Engine,Engine Oil Condition,Engine Oil Color,Brake Fluid Condition,Brake Fluid Color,Oil Leak in Engine,Total Costing
29,26,Ok,Ok,34,25,Needs Replacement,Ok,Ok,Ok,N,7,N,N,Good,Needs Replacement,Ok,Ok,N,Bad,Clean,Good,Brown,Y,95000
33,31,Good,Ok,32,29,Good,Good,Low,Ok,N,5,Y,Y,Ok,Good,Needs Replacement,Ok,N,Good,Brown,Good,Clean,Y,70000
34,28,Needs Replacement,Ok,32,31,Ok,Needs Replacement,Good,Ok,Y,8,Y,Y,Good,Needs Replacement,Ok,Good,Y,Good,Brown,Good,Brown,Y,130000
26,34,Ok,Good,33,32,Good,Ok,Low,Damaged,Y,2,N,Y,Good,Needs Replacement,Good,Low,Y,Good,Black,Bad,Black,Y,150000
30,27,Needs Replacement,Good,29,26,Ok,Needs Replacement,Ok,Ok,N,2,Y,Y,Good,Needs Replacement,Ok,Low,N,Good,Clean,Bad,Black,Y,110000
29,34,Good,Needs Replacement,33,30,Needs Replacement,Ok,Good,Ok,Y,5,Y,N,Low,Needs Replacement,Needs Replacement,Low,N,Bad,Black,Good,Black,Y,135000
29,32,Good,Good,30,31,Good,Good,Good,Good,N,2,N,N,Good,Good,Good,Good,N,Good,Clean,Good,Clean,N,5000
27,28,Needs Replacement,Ok,25,27,Ok,Good,Ok,Damaged,Y,6,Y,N,Good,Ok,Ok,Ok,N,Bad,Clean,Good,Clean,Y,135000
32,33,Needs Replacement,Needs Replacement,25,34,Needs Replacement,Ok,Low,Damaged,N,4,N,N,Low,Ok,Ok,Good,Y,Bad,Black,Bad,Black,N,140000
32,26,Ok,Good,29,26,Ok,Good,Ok,Damaged,Y,9,N,N,Ok,Needs Replacement,Good,Ok,Y,Bad,Clean,Bad,Brown,N,135000
30,27,Good,Good,34,29,Needs Replacement,Ok,Ok,Ok,N,3,N,N,Ok,Needs Replacement,Ok,Ok,N,Good,Black,Bad,Brown,Y,70000
28,34,Needs Replacement,Good,26,31,Good,Ok,Low,Ok,Y,5,Y,N,Ok,Good,Needs Replacement,Good,N,Good,Brown,Good,Black,Y,95000
32,28,Needs Replacement,Good,25,27,Good,Ok,Low,Damaged,N,1,Y,Y,Good,Ok,Needs Replacement,Low,Y,Good,Clean,Good,Clean,N,115000
26,26,Good,Ok,27,25,Good,Needs Replacement,Good,Ok,Y,8,N,Y,Good,Ok,Needs Replacement,Good,N,Bad,Clean,Good,Brown,N,110000
33,27,Good,Needs Replacement,32,30,Ok,Ok,Ok,Damaged,N,6,Y,N,Good,Ok,Good,Good,N,Good,Brown,Good,Clean,Y,95000
34,31,Needs Replacement,Ok,30,31,Needs Replacement,Ok,Ok,Damaged,Y,2,N,Y,Low,Good,Ok,Good,Y,Bad,Clean,Good,Brown,N,125000
25,26,Needs Replacement,Ok,28,25,Ok,Ok,Good,Damaged,N,4,N,Y,Low,Ok,Good,Good,Y,Bad,Brown,Good,Clean,N,100000
26,30,Needs Replacement,Good,30,28,Good,Ok,Low,Ok,N,6,Y,Y,Low,Needs Replacement,Needs Replacement,Ok,N,Bad,Clean,Bad,Clean,Y,150000
